id,x,y,verticalGDL,horizontalGDL
174,11.428571,14.948718,0,0
175,12.857143,14.948718,0,0
176,14.285714,14.948718,0,0
177,15.714286,14.948718,0,0
178,17.142857,14.948718,0,0
179,18.571429,14.948718,0,0
180,20.000000,14.948718,0,3
181,0.000000,16.307692,0,4
182,1.428571,16.307692,0,0
183,2.857143,16.307692,0,0
184,4.285714,16.307692,0,0
185,5.714286,16.307692,0,0
186,7.142857,16.307692,0,0
187,8.571429,16.307692,0,0
188,10.000000,16.307692,0,0
189,11.428571,16.307692,0,0
190,12.857143,16.307692,0,0
191,14.285714,16.307692,0,0
192,15.714286,16.307692,0,0
193,17.142857,16.307692,0,0
194,18.571429,16.307692,0,0
195,20.000000,16.307692,0,3
196,0.000000,17.666667,0,4
197,1.428571,17.666667,0,0
198,2.857143,17.666667,0,0
199,4.285714,17.666667,0,0
200,5.714286,17.666667,0,0
201,7.142857,17.666667,0,0
202,8.571429,17.666667,0,0
203,10.000000,17.666667,0,0
204,11.428571,17.666667,0,0
205,12.857143,17.666667,0,0
206,14.285714,17.666667,0,0
207,15.714286,17.666667,0,0
208,17.142857,17.666667,0,0
209,18.571429,17.666667,0,0
210,20.000000,17.666667,0,3
211,0.000000,19.025641,0,4
212,1.428571,19.025641,0,0
213,2.857143,19.025641,0,0
214,4.285714,19.025641,0,0
215,5.714286,19.025641,0,0
216,7.142857,19.025641,0,0
217,8.571429,19.025641,0,0
218,10.000000,19.025641,0,0
219,11.428571,19.025641,0,0
220,12.857143,19.025641,0,0
221,14.285714,19.025641,0,0
222,15.714286,19.025641,0,0
223,17.142857,19.025641,0,0
224,18.571429,19.025641,0,0
225,20.000000,19.025641,0,3
226,0.000000,20.384615,0,4
227,1.428571,20.384615,0,0
228,2.857143,20.384615,0,0
229,4.285714,20.384615,0,0
230,5.714286,20.384615,0,0
231,7.142857,20.384615,0,0
232,8.571429,20.384615,0,0
233,10.000000,20.384615,0,0
234,11.428571,20.384615,0,0
235,12.857143,20.384615,0,0
236,14.285714,20.384615,0,0
237,15.714286,20.384615,0,0
238,17.142857,20.384615,0,0
239,18.571429,20.384615,0,0
240,20.000000,20.384615,0,3
241,0.000000,21.743590,0,4
242,1.428571,21.743590,0,0
243,2.857143,21.743590,0,0
244,4.285714,21.743590,0,0
245,5.714286,21.743590,0,0
246,7.142857,21.743590,0,0
247,8.571429,21.743590,0,0
248,10.000000,21.743590,0,0
249,11.428571,21.743590,0,0
250,12.857143,21.743590,0,0
251,14.285714,21.743590,0,0
252,15.714286,21.743590,0,0
253,17.142857,21.743590,0,0
254,18.571429,21.743590,0,0
255,20.000000,21.743590,0,3
256,0.000000,23.102564,0,4
257,1.428571,23.102564,0,0
258,2.857143,23.102564,0,0
259,4.285714,23.102564,0,0
260,5.714286,23.102564,0,0
261,7.142857,23.102564,0,0
262,8.571429,23.102564,0,0
263,10.000000,23.102564,0,0
264,11.428571,23.102564,0,0
265,12.857143,23.102564,0,0
266,14.285714,23.102564,0,0
267,15.714286,23.102564,0,0
268,17.142857,23.102564,0,0
269,18.571429,23.102564,0,0
270,20.000000,23.102564,0,3
271,0.000000,24.461538,0,4
272,1.428571,24.461538,0,0
273,2.857143,24.461538,0,0
274,4.285714,24.461538,0,0
275,5.714286,24.461538,0,0
276,7.142857,24.461538,0,0
277,8.571429,24.461538,0,0
278,10.000000,24.461538,0,0
279,11.428571,24.461538,0,0
280,12.857143,24.461538,0,0
281,14.285714,24.461538,0,0
282,15.714286,24.461538,0,0
283,17.142857,24.461538,0,0
284,18.571429,24.461538,0,0
285,20.000000,24.461538,0,3
286,0.000000,25.820513,0,4
287,1.428571,25.820513,0,0
288,2.857143,25.820513,0,0
289,4.285714,25.820513,0,0
290,5.714286,25.820513,0,0
291,7.142857,25.820513,0,0
292,8.571429,25.820513,0,0
293,10.000000,25.820513,0,0
294,11.428571,25.820513,0,0
295,12.857143,25.820513,0,0
296,14.285714,25.820513,0,0
297,15.714286,25.820513,0,0
298,17.142857,25.820513,0,0
299,18.571429,25.820513,0,0
300,20.000000,25.820513,0,3
301,0.000000,27.179487,0,4
302,1.428571,27.179487,0,0
303,2.857143,27.179487,0,0
304,4.285714,27.179487,0,0
305,5.714286,27.179487,0,0
306,7.142857,27.179487,0,0
307,8.571429,27.179487,0,0
308,10.000000,27.179487,0,0
309,11.428571,27.179487,0,0
310,12.857143,27.179487,0,0
311,14.285714,27.179487,0,0
312,15.714286,27.179487,0,0
313,17.142857,27.179487,0,0
314,18.571429,27.179487,0,0
315,20.000000,27.179487,0,3
316,0.000000,28.538462,0,4
317,1.428571,28.538462,0,0
318,2.857143,28.538462,0,0
319,4.285714,28.538462,0,0
320,5.714286,28.538462,0,0
321,7.142857,28.538462,0,0
322,8.571429,28.538462,0,0
323,10.000000,28.538462,0,0
324,11.428571,28.538462,0,0
325,12.857143,28.538462,0,0
326,14.285714,28.538462,0,0
327,15.714286,28.538462,0,0
328,17.142857,28.538462,0,0
329,18.571429,28.538462,0,0
330,20.000000,28.538462,0,3
331,0.000000,29.897436,0,4
332,1.428571,29.897436,0,0
333,2.857143,29.897436,0,0
334,4.285714,29.897436,0,0
335,5.714286,29.897436,0,0
336,7.142857,29.897436,0,0
337,8.571429,29.897436,0,0
338,10.000000,29.897436,0,0
339,11.428571,29.897436,0,0
340,12.857143,29.897436,0,0
341,14.285714,29.897436,0,0
342,15.714286,29.897436,0,0
343,17.142857,29.897436,0,0
344,18.571429,29.897436,0,0
345,20.000000,29.897436,0,3
346,0.000000,31.256410,0,4
347,1.428571,31.256410,0,0
348,2.857143,31.256410,0,0
349,4.285714,31.256410,0,0
350,5.714286,31.256410,0,0
351,7.142857,31.256410,0,0
352,8.571429,31.256410,0,0
353,10.000000,31.256410,0,0
354,11.428571,31.256410,0,0
355,12.857143,31.256410,0,0
356,14.285714,31.256410,0,0
357,15.714286,31.256410,0,0
358,17.142857,31.256410,0,0
359,18.571429,31.256410,0,0
360,20.000000,31.256410,0,3
361,0.000000,32.615385,0,4
362,1.428571,32.615385,0,0
363,2.857143,32.615385,0,0
364,4.285714,32.615385,0,0
365,5.714286,32.615385,0,0
366,7.142857,32.615385,0,0
367,8.571429,32.615385,0,0
368,10.000000,32.615385,0,0
369,11.428571,32.615385,0,0
370,12.857143,32.615385,0,0
371,14.285714,32.615385,0,0
372,15.714286,32.615385,0,0
373,17.142857,32.615385,0,0
374,18.571429,32.615385,0,0
375,20.000000,32.615385,0,3
376,0.000000,33.974359,0,4
377,1.428571,33.974359,0,0
378,2.857143,33.974359,0,0
379,4.285714,33.974359,0,0
380,5.714286,33.974359,0,0
381,7.142857,33.974359,0,0
382,8.571429,33.974359,0,0
383,10.000000,33.974359,0,0
384,11.428571,33.974359,0,0
385,12.857143,33.974359,0,0
386,14.285714,33.974359,0,0
387,15.714286,33.974359,0,0
388,17.142857,33.974359,0,0
389,18.571429,33.974359,0,0
390,20.000000,33.974359,0,3
391,0.000000,35.333333,0,4
392,1.428571,35.333333,0,0
393,2.857143,35.333333,0,0
394,4.285714,35.333333,0,0
395,5.714286,35.333333,0,0
396,7.142857,35.333333,0,0
397,8.571429,35.333333,0,0
398,10.000000,35.333333,0,0
399,11.428571,35.333333,0,0
400,12.857143,35.333333,0,0
401,14.285714,35.333333,0,0
402,15.714286,35.333333,0,0
403,17.142857,35.333333,0,0
404,18.571429,35.333333,0,0
405,20.000000,35.333333,0,3
406,0.000000,36.692308,0,4
407,1.428571,36.692308,0,0
408,2.857143,36.692308,0,0
409,4.285714,36.692308,0,0
410,5.714286,36.692308,0,0
411,7.142857,36.692308,0,0
412,8.571429,36.692308,0,0
413,10.000000,36.692308,0,0
414,11.428571,36.692308,0,0
415,12.857143,36.692308,0,0
416,14.285714,36.692308,0,0
417,15.714286,36.692308,0,0
418,17.142857,36.692308,0,0
419,18.571429,36.692308,0,0
420,20.000000,36.692308,0,3
421,0.000000,38.051282,0,4
422,1.428571,38.051282,0,0
423,2.857143,38.051282,0,0
424,4.285714,38.051282,0,0
425,5.714286,38.051282,0,0
426,7.142857,38.051282,0,0
427,8.571429,38.051282,0,0
428,10.000000,38.051282,0,0
429,11.428571,38.051282,0,0
430,12.857143,38.051282,0,0
431,14.285714,38.051282,0,0
432,15.714286,38.051282,0,0
433,17.142857,38.051282,0,0
434,18.571429,38.051282,0,0
435,20.000000,38.051282,0,3
436,0.000000,39.410256,0,4
437,1.428571,39.410256,0,0
438,2.857143,39.410256,0,0
439,4.285714,39.410256,0,0
440,5.714286,39.410256,0,0
441,7.142857,39.410256,0,0
442,8.571429,39.410256,0,0
443,10.000000,39.410256,0,0
444,11.428571,39.410256,0,0
445,12.857143,39.410256,0,0
446,14.285714,39.410256,0,0
447,15.714286,39.410256,0,0
448,17.142857,39.410256,0,0
449,18.571429,39.410256,0,0
450,20.000000,39.410256,0,3
