elem_id,n1,n2,n3
1,1,2,16
2,2,17,16
3,2,3,17
4,3,18,17
5,3,4,18
6,4,19,18
7,4,5,19
8,5,20,19
9,5,6,20
10,6,21,20
11,6,7,21
12,7,22,21
13,7,8,22
14,8,23,22
15,8,9,23
16,9,24,23
17,9,10,24
18,10,25,24
19,10,11,25
20,11,26,25
21,11,12,26
22,12,27,26
23,12,13,27
24,13,28,27
25,13,14,28
26,14,29,28
27,14,15,29
28,15,30,29
29,16,17,31
30,17,32,31
31,17,18,32
32,18,33,32
33,18,19,33
34,19,34,33
35,19,20,34
36,20,35,34
37,20,21,35
38,21,36,35
39,21,22,36
40,22,37,36
41,22,23,37
42,23,38,37
43,23,24,38
44,24,39,38
45,24,25,39
46,25,40,39
47,25,26,40
48,26,41,40
49,26,27,41
50,27,42,41
51,27,28,42
52,28,43,42
53,28,29,43
54,29,44,43
55,29,30,44
56,30,45,44
57,31,32,46
58,32,47,46
59,32,33,47
60,33,48,47
61,33,34,48
62,34,49,48
63,34,35,49
64,35,50,49
65,35,36,50
66,36,51,50
67,36,37,51
68,37,52,51
69,37,38,52
70,38,53,52
71,38,39,53
72,39,54,53
73,39,40,54
74,40,55,54
75,40,41,55
76,41,56,55
77,41,42,56
78,42,57,56
79,42,43,57
80,43,58,57
81,43,44,58
82,44,59,58
83,44,45,59
84,45,60,59
85,46,47,61
86,47,62,61
87,47,48,62
88,48,63,62
89,48,49,63
90,49,64,63
91,49,50,64
92,50,65,64
93,50,51,65
94,51,66,65
95,51,52,66
96,52,67,66
97,52,53,67
98,53,68,67
99,53,54,68
100,54,69,68
101,54,55,69
102,55,70,69
103,55,56,70
104,56,71,70
105,56,57,71
106,57,72,71
107,57,58,72
108,58,73,72
109,58,59,73
110,59,74,73
111,59,60,74
112,60,75,74
113,61,62,76
114,62,77,76
115,62,63,77
116,63,78,77
117,63,64,78
118,64,79,78
119,64,65,79
120,65,80,79
121,65,66,80
122,66,81,80
123,66,67,81
124,67,82,81
125,67,68,82
126,68,83,82
127,68,69,83
128,69,84,83
129,69,70,84
130,70,85,84
131,70,71,85
132,71,86,85
133,71,72,86
134,72,87,86
135,72,73,87
136,73,88,87
137,73,74,88
138,74,89,88
139,74,75,89
140,75,90,89
141,76,77,91
142,77,92,91
143,77,78,92
144,78,93,92
145,78,79,93
146,79,94,93
147,79,80,94
148,80,95,94
149,80,81,95
150,81,96,95
151,81,82,96
152,82,97,96
153,82,83,97
154,83,98,97
155,83,84,98
156,84,99,98
157,84,85,99
158,85,100,99
159,85,86,100
160,86,101,100
161,86,87,101
162,87,102,101
163,87,88,102
164,88,103,102
165,88,89,103
166,89,104,103
167,89,90,104
168,90,105,104
169,91,92,106
170,92,107,106
171,92,93,107
172,93,108,107
173,93,94,108
174,94,109,108
175,94,95,109
176,95,110,109
177,95,96,110
178,96,111,110
179,96,97,111
180,97,112,111
181,97,98,112
182,98,113,112
183,98,99,113
184,99,114,113
185,99,100,114
186,100,115,114
187,100,101,115
188,101,116,115
189,101,102,116
190,102,117,116
191,102,103,117
192,103,118,117
193,103,104,118
194,104,119,118
195,104,105,119
196,105,120,119
197,106,107,121
198,107,122,121
199,107,108,122
200,108,123,122
201,108,109,123
202,109,124,123
203,109,110,124
204,110,125,124
205,110,111,125
206,111,126,125
207,111,112,126
208,112,127,126
209,112,113,127
210,113,128,127
211,113,114,128
212,114,129,128
213,114,115,129
214,115,130,129
215,115,116,130
216,116,131,130
217,116,117,131
218,117,132,131
219,117,118,132
220,118,133,132
221,118,119,133
222,119,134,133
223,119,120,134
224,120,135,134
225,121,122,136
226,122,137,136
227,122,123,137
228,123,138,137
229,123,124,138
230,124,139,138
231,124,125,139
232,125,140,139
233,125,126,140
234,126,141,140
235,126,127,141
236,127,142,141
237,127,128,142
238,128,143,142
239,128,129,143
240,129,144,143
241,129,130,144
242,130,145,144
243,130,131,145
244,131,146,145
245,131,132,146
246,132,147,146
247,132,133,147
248,133,148,147
249,133,134,148
250,134,149,148
251,134,135,149
252,135,150,149
253,136,137,151
254,137,152,151
255,137,138,152
256,138,153,152
257,138,139,153
258,139,154,153
259,139,140,154
260,140,155,154
261,140,141,155
262,141,156,155
263,141,142,156
264,142,157,156
265,142,143,157
266,143,158,157
267,143,144,158
268,144,159,158
269,144,145,159
270,145,160,159
271,145,146,160
272,146,161,160
273,146,147,161
274,147,162,161
275,147,148,162
276,148,163,162
277,148,149,163
278,149,164,163
279,149,150,164
280,150,165,164
281,151,152,166
282,152,167,166
283,152,153,167
284,153,168,167
285,153,154,168
286,154,169,168
287,154,155,169
288,155,170,169
289,155,156,170
290,156,171,170
291,156,157,171
292,157,172,171
293,157,158,172
294,158,173,172
295,158,159,173
296,159,174,173
297,159,160,174
298,160,175,174
299,160,161,175
300,161,176,175
301,161,162,176
302,162,177,176
303,162,163,177
304,163,178,177
305,163,164,178
306,164,179,178
307,164,165,179
308,165,180,179
309,166,167,181
310,167,182,181
311,167,168,182
312,168,183,182
313,168,169,183
314,169,184,183
315,169,170,184
316,170,185,184
317,170,171,185
318,171,186,185
319,171,172,186
320,172,187,186
321,172,173,187
322,173,188,187
323,173,174,188
324,174,189,188
325,174,175,189
326,175,190,189
327,175,176,190
328,176,191,190
329,176,177,191
330,177,192,191
331,177,178,192
332,178,193,192
333,178,179,193
334,179,194,193
335,179,180,194
336,180,195,194
337,181,182,196
338,182,197,196
339,182,183,197
340,183,198,197
341,183,184,198
342,184,199,198
343,184,185,199
344,185,200,199
345,185,186,200
346,186,201,200
347,186,187,201
348,187,202,201
349,187,188,202
350,188,203,202
351,188,189,203
352,189,204,203
353,189,190,204
354,190,205,204
355,190,191,205
356,191,206,205
357,191,192,206
358,192,207,206
359,192,193,207
360,193,208,207
361,193,194,208
362,194,209,208
363,194,195,209
364,195,210,209
365,196,197,211
366,197,212,211
367,197,198,212
368,198,213,212
369,198,199,213
370,199,214,213
371,199,200,214
372,200,215,214
373,200,201,215
374,201,216,215
375,201,202,216
376,202,217,216
377,202,203,217
378,203,218,217
379,203,204,218
380,204,219,218
381,204,205,219
382,205,220,219
383,205,206,220
384,206,221,220
385,206,207,221
386,207,222,221
387,207,208,222
388,208,223,222
389,208,209,223
390,209,224,223
391,209,210,224
392,210,225,224
393,211,212,226
394,212,227,226
395,212,213,227
396,213,228,227
397,213,214,228
398,214,229,228
399,214,215,229
400,215,230,229
401,215,216,230
402,216,231,230
403,216,217,231
404,217,232,231
405,217,218,232
406,218,233,232
407,218,219,233
408,219,234,233
409,219,220,234
410,220,235,234
411,220,221,235
412,221,236,235
413,221,222,236
414,222,237,236
415,222,223,237
416,223,238,237
417,223,224,238
418,224,239,238
419,224,225,239
420,225,240,239
421,226,227,241
422,227,242,241
423,227,228,242
424,228,243,242
425,228,229,243
426,229,244,243
427,229,230,244
428,230,245,244
429,230,231,245
430,231,246,245
431,231,232,246
432,232,247,246
433,232,233,247
434,233,248,247
435,233,234,248
436,234,249,248
437,234,235,249
438,235,250,249
439,235,236,250
440,236,251,250
441,236,237,251
442,237,252,251
443,237,238,252
444,238,253,252
445,238,239,253
446,239,254,253
447,239,240,254
448,240,255,254
449,241,242,256
450,242,257,256
451,242,243,257
452,243,258,257
453,243,244,258
454,244,259,258
455,244,245,259
456,245,260,259
457,245,246,260
458,246,261,260
459,246,247,261
460,247,262,261
461,247,248,262
462,248,263,262
463,248,249,263
464,249,264,263
465,249,250,264
466,250,265,264
467,250,251,265
468,251,266,265
469,251,252,266
470,252,267,266
471,252,253,267
472,253,268,267
473,253,254,268
474,254,269,268
475,254,255,269
476,255,270,269
477,256,257,271
478,257,272,271
479,257,258,272
480,258,273,272
481,258,259,273
482,259,274,273
483,259,260,274
484,260,275,274
485,260,261,275
486,261,276,275
487,261,262,276
488,262,277,276
489,262,263,277
490,263,278,277
491,263,264,278
492,264,279,278
493,264,265,279
494,265,280,279
495,265,266,280
496,266,281,280
497,266,267,281
498,267,282,281
499,267,268,282
500,268,283,282
501,268,269,283
502,269,284,283
503,269,270,284
504,270,285,284
505,271,272,286
506,272,287,286
507,272,273,287
508,273,288,287
509,273,274,288
510,274,289,288
511,274,275,289
512,275,290,289
513,275,276,290
514,276,291,290
515,276,277,291
516,277,292,291
517,277,278,292
518,278,293,292
519,278,279,293
520,279,294,293
521,279,280,294
522,280,295,294
523,280,281,295
524,281,296,295
525,281,282,296
526,282,297,296
527,282,283,297
528,283,298,297
529,283,284,298
530,284,299,298
531,284,285,299
532,285,300,299
533,286,287,301
534,287,302,301
535,287,288,302
536,288,303,302
537,288,289,303
538,289,304,303
539,289,290,304
540,290,305,304
541,290,291,305
542,291,306,305
543,291,292,306
544,292,307,306
545,292,293,307
546,293,308,307
547,293,294,308
548,294,309,308
549,294,295,309
550,295,310,309
551,295,296,310
552,296,311,310
553,296,297,311
554,297,312,311
555,297,298,312
556,298,313,312
557,298,299,313
558,299,314,313
559,299,300,314
560,300,315,314
561,301,302,316
562,302,317,316
563,302,303,317
564,303,318,317
565,303,304,318
566,304,319,318
567,304,305,319
568,305,320,319
569,305,306,320
570,306,321,320
571,306,307,321
572,307,322,321
573,307,308,322
574,308,323,322
575,308,309,323
576,309,324,323
577,309,310,324
578,310,325,324
579,310,311,325
580,311,326,325
581,311,312,326
582,312,327,326
583,312,313,327
584,313,328,327
585,313,314,328
586,314,329,328
587,314,315,329
588,315,330,329
589,316,317,331
590,317,332,331
591,317,318,332
592,318,333,332
593,318,319,333
594,319,334,333
595,319,320,334
596,320,335,334
597,320,321,335
598,321,336,335
599,321,322,336
600,322,337,336
601,322,323,337
602,323,338,337
603,323,324,338
604,324,339,338
605,324,325,339
606,325,340,339
607,325,326,340
608,326,341,340
609,326,327,341
610,327,342,341
611,327,328,342
612,328,343,342
613,328,329,343
614,329,344,343
615,329,330,344
616,330,345,344
617,331,332,346
618,332,347,346
619,332,333,347
620,333,348,347
621,333,334,348
622,334,349,348
623,334,335,349
624,335,350,349
625,335,336,350
626,336,351,350
627,336,337,351
628,337,352,351
629,337,338,352
630,338,353,352
631,338,339,353
632,339,354,353
633,339,340,354
634,340,355,354
635,340,341,355
636,341,356,355
637,341,342,356
638,342,357,356
639,342,343,357
640,343,358,357
641,343,344,358
642,344,359,358
643,344,345,359
644,345,360,359
645,346,347,361
646,347,362,361
647,347,348,362
648,348,363,362
649,348,349,363
650,349,364,363
651,349,350,364
652,350,365,364
653,350,351,365
654,351,366,365
655,351,352,366
656,352,367,366
657,352,353,367
658,353,368,367
659,353,354,368
660,354,369,368
661,354,355,369
662,355,370,369
663,355,356,370
664,356,371,370
665,356,357,371
666,357,372,371
667,357,358,372
668,358,373,372
669,358,359,373
670,359,374,373
671,359,360,374
672,360,375,374
673,361,362,376
674,362,377,376
675,362,363,377
676,363,378,377
677,363,364,378
678,364,379,378
679,364,365,379
680,365,380,379
681,365,366,380
682,366,381,380
683,366,367,381
684,367,382,381
685,367,368,382
686,368,383,382
687,368,369,383
688,369,384,383
689,369,370,384
690,370,385,384
691,370,371,385
692,371,386,385
693,371,372,386
694,372,387,386
695,372,373,387
696,373,388,387
697,373,374,388
698,374,389,388
699,374,375,389
700,375,390,389
701,376,377,391
702,377,392,391
703,377,378,392
704,378,393,392
705,378,379,393
706,379,394,393
707,379,380,394
708,380,395,394
709,380,381,395
710,381,396,395
711,381,382,396
712,382,397,396
713,382,383,397
714,383,398,397
715,383,384,398
716,384,399,398
717,384,385,399
718,385,400,399
719,385,386,400
720,386,401,400
721,386,387,401
722,387,402,401
723,387,388,402
724,388,403,402
725,388,389,403
726,389,404,403
727,389,390,404
728,390,405,404
729,391,392,406
730,392,407,406
731,392,393,407
732,393,408,407
733,393,394,408
734,394,409,408
735,394,395,409
736,395,410,409
737,395,396,410
738,396,411,410
739,396,397,411
740,397,412,411
741,397,398,412
742,398,413,412
743,398,399,413
744,399,414,413
745,399,400,414
746,400,415,414
747,400,401,415
748,401,416,415
749,401,402,416
