elem_id,n1,n2,n3
750,402,417,416
751,402,403,417
752,403,418,417
753,403,404,418
754,404,419,418
755,404,405,419
756,405,420,419
757,406,407,421
758,407,422,421
759,407,408,422
760,408,423,422
761,408,409,423
762,409,424,423
763,409,410,424
764,410,425,424
765,410,411,425
766,411,426,425
767,411,412,426
768,412,427,426
769,412,413,427
770,413,428,427
771,413,414,428
772,414,429,428
773,414,415,429
774,415,430,429
775,415,416,430
776,416,431,430
777,416,417,431
778,417,432,431
779,417,418,432
780,418,433,432
781,418,419,433
782,419,434,433
783,419,420,434
784,420,435,434
785,421,422,436
786,422,437,436
787,422,423,437
788,423,438,437
789,423,424,438
790,424,439,438
791,424,425,439
792,425,440,439
793,425,426,440
794,426,441,440
795,426,427,441
796,427,442,441
797,427,428,442
798,428,443,442
799,428,429,443
800,429,444,443
801,429,430,444
802,430,445,444
803,430,431,445
804,431,446,445
805,431,432,446
806,432,447,446
807,432,433,447
808,433,448,447
809,433,434,448
810,434,449,448
811,434,435,449
812,435,450,449
813,436,437,451
814,437,452,451
815,437,438,452
816,438,453,452
817,438,439,453
818,439,454,453
819,439,440,454
820,440,455,454
821,440,441,455
822,441,456,455
823,441,442,456
824,442,457,456
825,442,443,457
826,443,458,457
827,443,444,458
828,444,459,458
829,444,445,459
830,445,460,459
831,445,446,460
832,446,461,460
833,446,447,461
834,447,462,461
835,447,448,462
836,448,463,462
837,448,449,463
838,449,464,463
839,449,450,464
840,450,465,464
841,451,452,466
842,452,467,466
843,452,453,467
844,453,468,467
845,453,454,468
846,454,469,468
847,454,455,469
848,455,470,469
849,455,456,470
850,456,471,470
851,456,457,471
852,457,472,471
853,457,458,472
854,458,473,472
855,458,459,473
856,459,474,473
857,459,460,474
858,460,475,474
859,460,461,475
860,461,476,475
861,461,462,476
862,462,477,476
863,462,463,477
864,463,478,477
865,463,464,478
866,464,479,478
867,464,465,479
868,465,480,479
869,466,467,481
870,467,482,481
871,467,468,482
872,468,483,482
873,468,469,483
874,469,484,483
875,469,470,484
876,470,485,484
877,470,471,485
878,471,486,485
879,471,472,486
880,472,487,486
881,472,473,487
882,473,488,487
883,473,474,488
884,474,489,488
885,474,475,489
886,475,490,489
887,475,476,490
888,476,491,490
889,476,477,491
890,477,492,491
891,477,478,492
892,478,493,492
893,478,479,493
894,479,494,493
895,479,480,494
896,480,495,494
897,481,482,496
898,482,497,496
899,482,483,497
900,483,498,497
901,483,484,498
902,484,499,498
903,484,485,499
904,485,500,499
905,485,486,500
906,486,501,500
907,486,487,501
908,487,502,501
909,487,488,502
910,488,503,502
911,488,489,503
912,489,504,503
913,489,490,504
914,490,505,504
915,490,491,505
916,491,506,505
917,491,492,506
918,492,507,506
919,492,493,507
920,493,508,507
921,493,494,508
922,494,509,508
923,494,495,509
924,495,510,509
925,496,497,511
926,497,512,511
927,497,498,512
928,498,513,512
929,498,499,513
930,499,514,513
931,499,500,514
932,500,515,514
933,500,501,515
934,501,516,515
935,501,502,516
936,502,517,516
937,502,503,517
938,503,518,517
939,503,504,518
940,504,519,518
941,504,505,519
942,505,520,519
943,505,506,520
944,506,521,520
945,506,507,521
946,507,522,521
947,507,508,522
948,508,523,522
949,508,509,523
950,509,524,523
951,509,510,524
952,510,525,524
953,511,512,526
954,512,527,526
955,512,513,527
956,513,528,527
957,513,514,528
958,514,529,528
959,514,515,529
960,515,530,529
961,515,516,530
962,516,531,530
963,516,517,531
964,517,532,531
965,517,518,532
966,518,533,532
967,518,519,533
968,519,534,533
969,519,520,534
970,520,535,534
971,520,521,535
972,521,536,535
973,521,522,536
974,522,537,536
975,522,523,537
976,523,538,537
977,523,524,538
978,524,539,538
979,524,525,539
980,525,540,539
981,526,527,541
982,527,542,541
983,527,528,542
984,528,543,542
985,528,529,543
986,529,544,543
987,529,530,544
988,530,545,544
989,530,531,545
990,531,546,545
991,531,532,546
992,532,547,546
993,532,533,547
994,533,548,547
995,533,534,548
996,534,549,548
997,534,535,549
998,535,550,549
999,535,536,550
1000,536,551,550
1001,536,537,551
1002,537,552,551
1003,537,538,552
1004,538,553,552
1005,538,539,553
1006,539,554,553
1007,539,540,554
1008,540,555,554
1009,541,542,556
1010,542,557,556
1011,542,543,557
1012,543,558,557
1013,543,544,558
1014,544,559,558
1015,544,545,559
1016,545,560,559
1017,545,546,560
1018,546,561,560
1019,546,547,561
1020,547,562,561
1021,547,548,562
1022,548,563,562
1023,548,549,563
1024,549,564,563
1025,549,550,564
1026,550,565,564
1027,550,551,565
1028,551,566,565
1029,551,552,566
1030,552,567,566
1031,552,553,567
1032,553,568,567
1033,553,554,568
1034,554,569,568
1035,554,555,569
1036,555,570,569
1037,556,557,571
1038,557,572,571
1039,557,558,572
1040,558,573,572
1041,558,559,573
1042,559,574,573
1043,559,560,574
1044,560,575,574
1045,560,561,575
1046,561,576,575
1047,561,562,576
1048,562,577,576
1049,562,563,577
1050,563,578,577
1051,563,564,578
1052,564,579,578
1053,564,565,579
1054,565,580,579
1055,565,566,580
1056,566,581,580
1057,566,567,581
1058,567,582,581
1059,567,568,582
1060,568,583,582
1061,568,569,583
1062,569,584,583
1063,569,570,584
1064,570,585,584
1065,571,572,586
1066,572,587,586
1067,572,573,587
1068,573,588,587
1069,573,574,588
1070,574,589,588
1071,574,575,589
1072,575,590,589
1073,575,576,590
1074,576,591,590
1075,576,577,591
1076,577,592,591
1077,577,578,592
1078,578,593,592
1079,578,579,593
1080,579,594,593
1081,579,580,594
1082,580,595,594
1083,580,581,595
1084,581,596,595
1085,581,582,596
1086,582,597,596
1087,582,583,597
1088,583,598,597
1089,583,584,598
1090,584,599,598
1091,584,585,599
1092,585,600,599
