mesh_node,dic_node,distance
0,149,0.4276652636454756
1,146,0.31640101045875074
2,143,0.2570147263166374
3,140,0.19780670800456573
4,137,0.13878135390388147
5,134,0.08077377546434461
6,131,0.029342178699425594
7,128,0.047956504688486855
8,125,0.10411792267683874
9,122,0.16266069466453606
10,119,0.2218074894161553
11,116,0.2810652843296239
12,112,0.27424834760821887
13,109,0.32990992316408574
14,152,0.30251843112433213
15,5078,0.18594654121719986
16,5081,0.2834412272145672
17,5085,0.26288935999836144
18,5088,0.20467421166651895
19,5091,0.1478988472142118
20,5094,0.09517843717161897
21,5097,0.058607457926548014
22,5100,0.07116537901452007
23,5103,0.12478543614648915
24,5106,0.17890504319222025
25,5109,0.2348456189977519
26,5113,0.2916806490132896
27,106,0.0965394470780168
28,156,0.2807541973891133
29,4920,0.16904870047563647
30,4923,0.2775049048249555
31,4927,0.257307320350038
32,4930,0.19772584944806593
33,4933,0.13868474495740618
34,4936,0.08105778469058604
35,4939,0.03326002803806866
36,4942,0.05330153377102244
37,4945,0.10851191902596297
38,4948,0.16695632792424553
39,4951,0.2263599587300052
40,4955,0.28957035339898374
41,102,0.3101586457130463
42,159,0.3008240610008692
43,4762,0.17356940981827954
44,4765,0.276426159707094
45,4769,0.25566816095906586
46,4772,0.19558799288921844
47,4775,0.13561935668028557
48,4778,0.07569356565401794
49,4781,0.0162905152640067
50,4784,0.04472365062041746
51,4787,0.10456571136453319
52,4790,0.16441887621688067
53,4793,0.22449494947264043
54,4797,0.2836822527521827
55,99,0.09266877380121107
56,163,0.25867965292503925
57,4604,0.1794539440927916
58,4607,0.27947599004375007
59,4611,0.2586068295831026
60,4614,0.19941400838774095
61,4617,0.14108115992295917
62,4620,0.08509288842348803
63,4623,0.04215050019157417
64,4626,0.05925781554909214
65,4629,0.11155837831379552
66,4632,0.16895221405845792
67,4635,0.2278360509611164
68,4639,0.2923084686054313
69,95,0.29048069046682395
70,166,0.30105984898749544
71,4446,0.19087494820200834
72,4449,0.28626950559363973
73,4453,0.2659715203368201
74,4456,0.20887628889972562
75,4459,0.1541663095765842
76,4462,0.10537626385248151
77,4465,0.07510007982456153
78,4468,0.08587692371589614
79,4471,0.12770524302180997
80,4474,0.18002279844094918
81,4477,0.23616228200288897
82,4481,0.29476513422937595
83,92,0.09295958893592006
84,170,0.23703517615533493
85,4288,0.20910103421000906
86,4291,0.2973088969122902
87,4295,0.27740995025045095
88,4298,0.22325934455739993
89,4301,0.1731550804225547
90,4304,0.1316039051517317
91,4307,0.10888274820803202
92,4310,0.11657734297274078
93,4313,0.15008017844784743
94,4316,0.19652897706493258
95,4319,0.24897400327843516
96,4323,0.3093099246354377
97,88,0.27081420448033183
98,173,0.30334541103576956
99,4130,0.22665523177063876
100,4133,0.3110188586629695
101,4137,0.29244449885415597
102,4140,0.2416862415287651
103,4143,0.19634201355859152
104,4146,0.1608946620099211
105,4149,0.14290891249125948
106,4152,0.14885490017693334
107,4155,0.17632800224308812
108,4158,0.21723522559265004
109,4161,0.26562296346624664
110,4165,0.31463418402990845
111,85,0.09741517476103162
112,177,0.21604242971579732
113,3972,0.25773726480211967
114,3975,0.3287124662385144
115,3979,0.3105538851429104
116,3982,0.2633100264167662
117,3985,0.2224187873259354
118,3988,0.19185156483746565
119,3991,0.1770392271128972
120,3994,0.1818727906367039
121,3997,0.20496705843216861
122,4000,0.24106238592029883
123,4003,0.2854391167795482
124,3967,0.33714237247004736
125,81,0.25119182037926346
126,180,0.30750142228924104
127,3814,0.2813229576333371
128,3778,0.3054704777182727
129,3781,0.3078344156140637
130,3824,0.28740892487765435
131,3827,0.2504832071083224
132,3830,0.22378280322293612
133,3833,0.21122170348821412
134,3836,0.21528918240755474
135,3839,0.23512382935395357
136,3842,0.26717558644703704
137,3845,0.30781034660261114
138,3809,0.3045955060918068
139,78,0.1053597115286949
140,184,0.19582872785538874
141,3617,0.2844315954613653
142,3620,0.2711350317322726
143,3623,0.2739029113646841
144,3626,0.28938688993023043
145,3669,0.2799386194783172
146,3672,0.2563250605197836
147,3675,0.24543512718561378
148,3678,0.24894422205359326
149,3681,0.2662836997681654
